Tanggal;Kemayoran_Tn;Kemayoran_Tx;Kemayoran_Tavg;Kemayoran_RH_avg;Kemayoran_RR;Kemayoran_ss;Kemayoran_ff_x;Kemayoran_ddd_x;Kemayoran_ff_avg;Kemayoran_ddd_car;TJP_Tn;TJP_Tx;TJP_Tavg;TJP_RH_avg;TJP_RR;TJP_ss;TJP_ff_x;TJP_ddd_x;TJP_ff_avg;TJP_ddd_car;Bogor_Tn;Bogor_Tx;Bogor_Tavg;Bogor_RH_avg;Bogor_RR;Bogor_ss;Bogor_ff_x;Bogor_ddd_x;Bogor_ff_avg;Bogor_ddd_car;status_banjir
14-01-2020;26;32;28.5;80;0.5;1;7;350;3;NW;26.2;31.4;28.9;78;0.3;2.2;4;320;3;NW;23.2;30.8;26.9;83;8888;5.6;5;330;2;C ;0
15-01-2020;25.6;31;27.9;82;33.8;7.8;4;320;1;C ;25;31;28.2;82;35;8.5;3;270;1;C ;23.4;29.9;25.3;92;4.6;7.8;2;240;1;C ;0
16-01-2020;25.6;31;28.2;83;0;3.2;6;310;2;C ;26.2;30.9;28.5;82;;5.4;4;300;2;C ;;32.4;26.2;86;5.3;0.4;4;100;1;C ;0
17-01-2020;26.4;32;28.4;82;8888;2.2;5;270;2;C ;26.9;31.6;28.9;79;1.1;4;5;330;3;N ;23;31.8;26.4;86;9;8.1;4;300;2;C ;0
18-01-2020;24;30.6;27.5;81;78.5;6;3;290;1;C ;25.2;30.4;27.4;84;23.5;9.1;3;300;2;C ;22.8;30;26.3;87;83;5.9;3;360;1;C ;0
19-01-2020;25;32;28.1;78;3.8;2;4;320;1;C ;25.2;31.6;28.5;81;2.2;2.8;6;340;2;NW;23;32.4;26.7;87;0.2;3.1;5;270;1;C ;0
20-01-2020;25.8;30.4;28.4;83;;8.8;4;330;2;NW;26.5;31;29;80;;9.4;4;320;2;NW;23;31.2;26.5;90;99.9;8.6;6;360;1;C ;0
21-01-2020;26.4;31.2;28.6;82;2.4;2.4;5;330;1;C ;26.8;31.3;28.7;82;;4.9;4;310;2;N ;;30.2;;;10.9;;4;360;2;S ;0
22-01-2020;26.8;34.4;29;80;0.3;4.2;5;330;1;C ;27.2;31.4;28.8;81;8888;6.3;4;300;2;N ;23;31.5;27;85;;5.3;4;90;2;S ;0
23-01-2020;25.4;33.8;28.3;83;74;4;5;340;1;C ;25.8;31.2;28.1;86;10.6;7;5;330;2;NW;24;30;26.3;92;8888;7.3;4;160;2;N ;0
24-01-2020;26;27.4;26.8;92;7.8;4.7;2;118;0;C ;25.6;29.7;27;91;19.9;5.5;6;320;2;NW;23.2;28.4;25.1;94;8.5;2.7;4;300;1;C ;0
25-01-2020;25.8;29.6;27.1;89;123.7;0;4;330;1;C ;25.6;29.6;27.5;87;112.3;0;5;300;2;NW;23.8;26.9;25.1;96;2;0;3;360;1;C ;0
26-01-2020;25.8;31.6;28.2;84;7.4;0.5;5;330;2;C ;26.2;31.6;28.3;84;2;0.6;4;40;2;NE;22.3;31.2;25.6;91;9.6;0;4;360;2;S ;0
27-01-2020;25.8;31.6;28.3;80;12.3;7;5;300;1;C ;26.2;31.5;28.9;80;1.5;8.1;4;320;2;NE;23.4;31;26.4;88;43.7;4.8;4;180;1;C ;0
